# Observation File: observation_columnSpinup.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow depth [m]
# Region: surface domain
# Reduction: average
# Variable: snow-depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow density [kg/m^3]
# Region: surface domain
# Reduction: average
# Variable: snow-density
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-subsurface_evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [mSWE/d]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow cumulation [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Reduction: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","snow depth [m]","snow density [kg/m^3]","evaporation rate [m/d]","evaporation cumulation [m3/d]","subsurface evaporation cumulation [m3/d]","discharge cumulation [mol/d]","surface-subsurface exchange cumulation [mol/d]","snowmelt rate [m/d]","snowmelt cumulation [m3/d]","rain [m/d]","rain cumulation [m3/d]","snow [mSWE/d]","snow cumulation [m3SWE/d]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m/d]","surface temperature [K]","air temperature [K]","thaw depth [m]","water table depth [m]","net runoff [mol/d]"
0.000000000000e+00,9.620318066726e+05,2.859918539805e+03,1.664690061848e+03,3.000000000000e-01,1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.548966872828e+04,1.000000000000e+00,0.000000000000e+00,2.698656042899e+02,2.488938751221e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e+00,9.620256652389e+05,2.866059973656e+03,1.707165416237e+03,3.076236743694e-01,1.000000000000e+02,1.410733669812e-04,1.410733669812e-04,0.000000000000e+00,0.000000000000e+00,6.141433851312e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.034408037678e-04,9.034408037678e-04,5.549525470483e+04,1.000000000000e+00,0.000000000000e+00,2.708434156064e+02,2.620542602539e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e+00,9.620206081609e+05,2.871117051622e+03,1.715864449829e+03,2.519240663168e-01,1.227275634195e+02,-9.007246375622e-06,-9.007246375622e-06,0.000000000000e+00,0.000000000000e+00,5.057077966252e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.466521368343e-04,1.466521368343e-04,5.549721719001e+04,1.000000000000e+00,0.000000000000e+00,2.712506829181e+02,2.679145507812e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e+00,9.620159818577e+05,2.875743355015e+03,1.725413095738e+03,2.244499491061e-01,1.385158874476e+02,-1.686614350769e-04,-1.686614350769e-04,0.000000000000e+00,0.000000000000e+00,4.626303392409e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.195637554576e-06,3.195637554576e-06,5.549757284282e+04,1.000000000000e+00,0.000000000000e+00,2.713294844050e+02,2.652725219727e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.000000000000e+00,9.620109913370e+05,2.880733874773e+03,1.744748717436e+03,2.087627763953e-01,1.505951392408e+02,-1.966542094205e-04,-1.966542094205e-04,0.000000000000e+00,0.000000000000e+00,4.990519758161e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.521212979583e-04,1.521212979583e-04,5.549691849701e+04,1.000000000000e+00,0.000000000000e+00,2.711857786260e+02,2.619967651367e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e+00,9.620060528830e+05,2.885672329454e+03,1.818343166472e+03,2.062550727727e-01,1.588565070032e+02,-2.220431301943e-04,-2.220431301943e-04,0.000000000000e+00,0.000000000000e+00,4.938454681494e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.104257856355e-03,1.104257856355e-03,5.549657755071e+04,1.000000000000e+00,0.000000000000e+00,2.711130632261e+02,2.609656066895e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.000000000000e+00,9.620004404021e+05,2.891284811726e+03,1.878438953780e+03,2.024499264755e-01,1.671971075530e+02,-1.340230162341e-04,-1.340230162341e-04,0.000000000000e+00,0.000000000000e+00,5.612482271522e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.500589371214e-04,9.500589371214e-04,5.549459705547e+04,1.000000000000e+00,0.000000000000e+00,2.707159057936e+02,2.531167602539e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.000000000000e+00,9.619946036626e+05,2.897121550687e+03,1.887849098276e+03,1.936716414207e-01,1.756532755509e+02,5.617582903761e-05,5.617582903761e-05,0.000000000000e+00,0.000000000000e+00,5.836738960899e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.261919157476e-04,2.261919157476e-04,5.549386721266e+04,1.000000000000e+00,0.000000000000e+00,2.705789382729e+02,2.593369445801e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8.000000000000e+00,9.619895384413e+05,2.902186773010e+03,1.938683712695e+03,1.925623622386e-01,1.814189473514e+02,-8.740619401000e-05,-8.740619401000e-05,0.000000000000e+00,0.000000000000e+00,5.065222322858e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.279966960567e-04,8.279966960567e-04,5.549487967196e+04,1.000000000000e+00,0.000000000000e+00,2.707701867218e+02,2.663179931641e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9.000000000000e+00,9.619853427355e+05,2.906382478049e+03,2.111873417389e+03,2.070211743219e-01,1.838207603277e+02,-3.613633662835e-04,-3.613633662835e-04,0.000000000000e+00,0.000000000000e+00,4.195705038917e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.758965288230e-03,2.758965288230e-03,5.549560083818e+04,1.000000000000e+00,0.000000000000e+00,2.709121480266e+02,2.673305664062e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
