# Observation File: observation_columnSpinup.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow depth [m]
# Region: surface domain
# Reduction: average
# Variable: snow-depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow density [kg/m^3]
# Region: surface domain
# Reduction: average
# Variable: snow-density
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-subsurface_evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [mSWE/d]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow cumulation [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Reduction: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","snow depth [m]","snow density [kg/m^3]","evaporation rate [m/d]","evaporation cumulation [m3/d]","subsurface evaporation cumulation [m3/d]","discharge cumulation [mol/d]","surface-subsurface exchange cumulation [mol/d]","snowmelt rate [m/d]","snowmelt cumulation [m3/d]","rain [m/d]","rain cumulation [m3/d]","snow [mSWE/d]","snow cumulation [m3SWE/d]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m/d]","surface temperature [K]","air temperature [K]","thaw depth [m]","water table depth [m]","net runoff [mol/d]"
0.000000000000e+00,9.620318066726e+05,2.859918539805e+03,1.664690061848e+03,3.000000000000e-01,1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.548966872828e+04,1.000000000000e+00,0.000000000000e+00,2.698656042899e+02,2.488938751221e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e+00,9.620256556171e+05,2.866069596548e+03,1.657016679865e+03,2.985871745503e-01,1.000000000000e+02,1.412825451971e-04,1.412825451971e-04,0.000000000000e+00,0.000000000000e+00,6.151056742901e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.289777302307e-17,7.289777302307e-17,5.549523961839e+04,1.000000000000e+00,0.000000000000e+00,2.708404451493e+02,2.620542602539e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e+00,9.620205775774e+05,2.871147634770e+03,1.657551276651e+03,2.426109546102e-01,1.231077988130e+02,-8.583127035706e-06,-8.583127035706e-06,0.000000000000e+00,0.000000000000e+00,5.078038221981e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.549719070383e+04,1.000000000000e+00,0.000000000000e+00,2.712448818811e+02,2.679145507812e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e+00,9.620159047796e+05,2.875820431574e+03,1.666883887797e+03,2.163697955164e-01,1.388146108276e+02,-1.679883778939e-04,-1.679883778939e-04,0.000000000000e+00,0.000000000000e+00,4.672796804405e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.549751460783e+04,1.000000000000e+00,0.000000000000e+00,2.713164621401e+02,2.652725219727e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.000000000000e+00,9.620108220811e+05,2.880903129056e+03,1.677742576420e+03,2.001092156912e-01,1.510742338247e+02,-1.960574915002e-04,-1.960574915002e-04,0.000000000000e+00,0.000000000000e+00,5.082697482048e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.549678641077e+04,1.000000000000e+00,0.000000000000e+00,2.711574412026e+02,2.619967651367e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e+00,9.620056946466e+05,2.886030562457e+03,1.704249807317e+03,1.910439125936e-01,1.607445013872e+02,-2.198303193666e-04,-2.198303193666e-04,0.000000000000e+00,0.000000000000e+00,5.127433401066e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.580818325512e-04,2.580818325512e-04,5.549628652973e+04,1.000000000000e+00,0.000000000000e+00,2.710520940420e+02,2.609656066895e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.000000000000e+00,9.619992196215e+05,2.892505587585e+03,1.708768824108e+03,1.810556026758e-01,1.700706471070e+02,-8.298503637100e-05,-8.298503637100e-05,0.000000000000e+00,0.000000000000e+00,6.475025127356e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.484642409017e-17,4.484642409017e-17,5.549348242816e+04,1.000000000000e+00,0.000000000000e+00,2.705085083187e+02,2.531167602539e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.000000000000e+00,9.619929969528e+05,2.898728254746e+03,1.701352230662e+03,1.719095816602e-01,1.783435737541e+02,1.332743525691e-04,1.332743525691e-04,0.000000000000e+00,0.000000000000e+00,6.222667161198e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.549280610231e+04,1.000000000000e+00,0.000000000000e+00,2.703874646804e+02,2.593369445801e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8.000000000000e+00,9.619878889091e+05,2.903836298541e+03,1.722679878370e+03,1.680740645934e-01,1.846956574506e+02,-1.270856263362e-04,-1.270856263362e-04,0.000000000000e+00,0.000000000000e+00,5.108043795551e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.564949439216e-04,2.564949439216e-04,5.549414872319e+04,1.000000000000e+00,0.000000000000e+00,2.706312236267e+02,2.663179931641e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9.000000000000e+00,9.619835966721e+05,2.908128532982e+03,1.948402444197e+03,1.936652015854e-01,1.812895792929e+02,-4.023040901711e-04,-4.023040901711e-04,0.000000000000e+00,0.000000000000e+00,4.292234440133e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.664628983419e-03,3.664628983419e-03,5.549504812306e+04,1.000000000000e+00,0.000000000000e+00,2.708028916407e+02,2.673305664062e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
