# Observation File: observation_columnSpinup.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow depth [m]
# Region: surface domain
# Reduction: average
# Variable: snow-depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow density [kg/m^3]
# Region: surface domain
# Reduction: average
# Variable: snow-density
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-subsurface_evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [mSWE/d]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow cumulation [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Reduction: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","snow depth [m]","snow density [kg/m^3]","evaporation rate [m/d]","evaporation cumulation [m3/d]","subsurface evaporation cumulation [m3/d]","discharge cumulation [mol/d]","surface-subsurface exchange cumulation [mol/d]","snowmelt rate [m/d]","snowmelt cumulation [m3/d]","rain [m/d]","rain cumulation [m3/d]","snow [mSWE/d]","snow cumulation [m3SWE/d]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m/d]","surface temperature [K]","air temperature [K]","thaw depth [m]","water table depth [m]","net runoff [mol/d]"
0.000000000000e+00,9.620318066726e+05,2.859918539805e+03,1.664690061848e+03,3.000000000000e-01,1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.548966872828e+04,1.000000000000e+00,0.000000000000e+00,2.698656042899e+02,2.488938751221e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e+00,9.620256679227e+05,2.866057290497e+03,1.721697424886e+03,3.102422546835e-01,1.000000000000e+02,1.410150053087e-04,1.410150053087e-04,0.000000000000e+00,0.000000000000e+00,6.138750692003e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.165240473522e-03,1.165240473522e-03,5.549525891121e+04,1.000000000000e+00,0.000000000000e+00,2.708442442221e+02,2.620542602539e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e+00,9.620206269709e+05,2.871098243123e+03,1.766240827902e+03,2.604544477221e-01,1.221931264902e+02,-9.398868850194e-06,-9.398868850194e-06,0.000000000000e+00,0.000000000000e+00,5.040952625895e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.921189201619e-04,7.921189201619e-04,5.549723733473e+04,1.000000000000e+00,0.000000000000e+00,2.712551012158e+02,2.679145507812e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e+00,9.620160766621e+05,2.875648552185e+03,1.815719118626e+03,2.384417789416e-01,1.372118480820e+02,-1.698999562266e-04,-1.698999562266e-04,0.000000000000e+00,0.000000000000e+00,4.550309062598e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.213939188177e-04,7.213939188177e-04,5.549766350750e+04,1.000000000000e+00,0.000000000000e+00,2.713498530595e+02,2.652725219727e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.000000000000e+00,9.620112725171e+05,2.880452697651e+03,1.870795480074e+03,2.267194912846e-01,1.486848142816e+02,-1.978903249469e-04,-1.978903249469e-04,0.000000000000e+00,0.000000000000e+00,4.804145465638e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.948180134903e-04,7.948180134903e-04,5.549717017320e+04,1.000000000000e+00,0.000000000000e+00,2.712403816179e+02,2.619967651367e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e+00,9.620065462559e+05,2.885178956533e+03,1.953383126425e+03,2.237073172005e-01,1.573397392856e+02,-2.240584691902e-04,-2.240584691902e-04,0.000000000000e+00,0.000000000000e+00,4.726258882215e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.264247068987e-03,1.264247068987e-03,5.549691170105e+04,1.000000000000e+00,0.000000000000e+00,2.711843106628e+02,2.609656066895e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.000000000000e+00,9.620007943582e+05,2.890930853249e+03,2.022708122596e+03,2.204686290353e-01,1.653227725029e+02,-8.755264091350e-05,-8.755264091350e-05,0.000000000000e+00,0.000000000000e+00,5.751896715823e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.162881396080e-03,1.162881396080e-03,5.549498483893e+04,1.000000000000e+00,0.000000000000e+00,2.707905879815e+02,2.531167602539e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.000000000000e+00,9.619953509187e+05,2.896374288829e+03,2.055825771932e+03,2.138257215639e-01,1.732507990285e+02,1.238299244150e-04,1.238299244150e-04,0.000000000000e+00,0.000000000000e+00,5.443435579889e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.208220354628e-04,7.208220354628e-04,5.549464960638e+04,1.000000000000e+00,0.000000000000e+00,2.707259413214e+02,2.593369445801e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8.000000000000e+00,9.619909303503e+05,2.900794857933e+03,2.133481570019e+03,2.152125195436e-01,1.786330607621e+02,-1.348109586007e-04,-1.348109586007e-04,0.000000000000e+00,0.000000000000e+00,4.420569104230e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.263783011100e-03,1.263783011100e-03,5.549572431065e+04,1.000000000000e+00,0.000000000000e+00,2.709369797753e+02,2.663179931641e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9.000000000000e+00,9.619871031474e+05,2.904622061213e+03,2.281859357950e+03,2.267135684101e-01,1.813625601463e+02,-4.048447888702e-04,-4.048447888702e-04,0.000000000000e+00,0.000000000000e+00,3.827203279586e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.268437317197e-03,2.268437317197e-03,5.549626085132e+04,1.000000000000e+00,0.000000000000e+00,2.710467422625e+02,2.673305664062e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e+01,9.619815086266e+05,2.910216580999e+03,2.332058625196e+03,2.229059047588e-01,1.885312594772e+02,-3.369425188487e-05,-3.369425188487e-05,0.000000000000e+00,0.000000000000e+00,5.594519786207e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.736835308079e-04,8.736835308079e-04,5.549252955150e+04,1.000000000000e+00,0.000000000000e+00,2.703389250580e+02,2.608928222656e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.100000000000e+01,9.619748148158e+05,2.916910392080e+03,2.339392682978e+03,2.156452078762e-01,1.955082637555e+02,-3.304860525049e-06,-3.304860525049e-06,0.000000000000e+00,0.000000000000e+00,6.693811081318e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.323843496612e-04,1.323843496612e-04,5.548788823838e+04,1.000000000000e+00,0.000000000000e+00,2.695934531369e+02,2.599305114746e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.200000000000e+01,9.619676265091e+05,2.924098697383e+03,2.381549661722e+03,2.147503756527e-01,1.998759863556e+02,-1.327585026466e-05,-1.327585026466e-05,0.000000000000e+00,0.000000000000e+00,7.188305303147e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.497471604355e-04,7.497471604355e-04,5.548365850307e+04,1.000000000000e+00,0.000000000000e+00,2.690007387648e+02,2.546944274902e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.300000000000e+01,9.619606181798e+05,2.931107025903e+03,2.389347363961e+03,2.090366531192e-01,2.060184025198e+02,-9.569840779058e-06,-9.569840779058e-06,0.000000000000e+00,0.000000000000e+00,7.008328519561e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.323843496612e-04,1.323843496612e-04,5.548183718951e+04,1.000000000000e+00,0.000000000000e+00,2.687646585613e+02,2.544865875244e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.400000000000e+01,9.619536257346e+05,2.938099471706e+03,2.430337906282e+03,2.089359885115e-01,2.096656034779e+02,-4.418452041352e-06,-4.418452041352e-06,0.000000000000e+00,0.000000000000e+00,6.992445802825e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.368743708675e-04,7.368743708675e-04,5.547869285839e+04,1.000000000000e+00,0.000000000000e+00,2.683792047559e+02,2.581724853516e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.500000000000e+01,9.619466984366e+05,2.945026769150e+03,2.479479442275e+03,2.094886562241e-01,2.133530551216e+02,-3.487578535056e-05,-3.487578535056e-05,0.000000000000e+00,0.000000000000e+00,6.927297444446e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.534789287032e-04,8.534789287032e-04,5.547548844243e+04,1.000000000000e+00,0.000000000000e+00,2.680109964259e+02,2.550348205566e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.600000000000e+01,9.619400834161e+05,2.951641791218e+03,2.539155196423e+03,2.113910476153e-01,2.165270781636e+02,-3.166480683262e-06,-3.166480683262e-06,0.000000000000e+00,0.000000000000e+00,6.615022067298e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.073674764145e-03,1.073674764145e-03,5.547412231375e+04,1.000000000000e+00,0.000000000000e+00,2.678605942403e+02,2.524987030029e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.700000000000e+01,9.619335650948e+05,2.958160112260e+03,2.604163901312e+03,2.131996278268e-01,2.202083834474e+02,1.090331072673e-05,1.090331072673e-05,0.000000000000e+00,0.000000000000e+00,6.518321042436e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.187362821805e-03,1.187362821805e-03,5.546870458128e+04,1.000000000000e+00,0.000000000000e+00,2.672971853731e+02,2.421457519531e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
