# Observation File: observation_columnSpinup.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow depth [m]
# Region: surface domain
# Reduction: average
# Variable: snow-depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow density [kg/m^3]
# Region: surface domain
# Reduction: average
# Variable: snow-density
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-subsurface_evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [mSWE/d]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow cumulation [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Reduction: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","snow depth [m]","snow density [kg/m^3]","evaporation rate [m/d]","evaporation cumulation [m3/d]","subsurface evaporation cumulation [m3/d]","discharge cumulation [mol/d]","surface-subsurface exchange cumulation [mol/d]","snowmelt rate [m/d]","snowmelt cumulation [m3/d]","rain [m/d]","rain cumulation [m3/d]","snow [mSWE/d]","snow cumulation [m3SWE/d]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m/d]","surface temperature [K]","air temperature [K]","thaw depth [m]","water table depth [m]","net runoff [mol/d]"
0.000000000000e+00,9.620318066726e+05,2.859918539805e+03,1.664690061848e+03,3.000000000000e-01,1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.548966872828e+04,1.000000000000e+00,0.000000000000e+00,2.698656042899e+02,2.407325744629e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e+00,9.620256337480e+05,2.866091464621e+03,1.727401093286e+03,3.112703315394e-01,1.000000000000e+02,-2.235923500774e-04,-2.235923500774e-04,0.000000000000e+00,0.000000000000e+00,6.172924815757e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.034408037678e-04,9.034408037678e-04,5.549520523665e+04,1.000000000000e+00,0.000000000000e+00,2.708336838062e+02,2.604731445312e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e+00,9.620206145393e+05,2.871110674161e+03,1.721281211875e+03,2.528349674341e-01,1.226713444258e+02,2.580799178869e-04,2.580799178869e-04,0.000000000000e+00,0.000000000000e+00,5.019209540147e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.466521368343e-04,1.466521368343e-04,5.549726310915e+04,1.000000000000e+00,0.000000000000e+00,2.712607620421e+02,2.692635803223e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e+00,9.620160062191e+05,2.875718993939e+03,1.730725862178e+03,2.252027861392e-01,1.384778589460e+02,-1.667986665976e-04,-1.667986665976e-04,0.000000000000e+00,0.000000000000e+00,4.608319777750e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.195637554576e-06,3.195637554576e-06,5.549759765482e+04,1.000000000000e+00,0.000000000000e+00,2.713350471393e+02,2.653005371094e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.000000000000e+00,9.620109154598e+05,2.880809755149e+03,1.752687002775e+03,2.098596621068e-01,1.504899459387e+02,-2.440482537281e-04,-2.440482537281e-04,0.000000000000e+00,0.000000000000e+00,5.090761210036e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.521212979583e-04,1.521212979583e-04,5.549679599615e+04,1.000000000000e+00,0.000000000000e+00,2.711594904537e+02,2.603869018555e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e+00,9.620057945388e+05,2.885930679820e+03,1.833783739496e+03,2.084048357127e-01,1.585536466583e+02,-3.573196267972e-04,-3.573196267972e-04,0.000000000000e+00,0.000000000000e+00,5.120924671415e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.104257856355e-03,1.104257856355e-03,5.549630783667e+04,1.000000000000e+00,0.000000000000e+00,2.710565248234e+02,2.588401489258e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.000000000000e+00,9.619992167351e+05,2.892508484805e+03,1.895079118075e+03,2.050598115357e-01,1.665352586976e+02,-2.076827818897e-04,-2.076827818897e-04,0.000000000000e+00,0.000000000000e+00,6.577804984948e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.986592973770e-04,8.986592973770e-04,5.549330570038e+04,1.000000000000e+00,0.000000000000e+00,2.704765480115e+02,2.470668945312e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.000000000000e+00,9.619929792700e+05,2.898745950279e+03,1.896288417308e+03,1.944687606046e-01,1.757187626833e+02,-2.008511884941e-05,-2.008511884941e-05,0.000000000000e+00,0.000000000000e+00,6.237465474577e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.036121871107e-06,2.036121871107e-06,5.549277072650e+04,1.000000000000e+00,0.000000000000e+00,2.703812264955e+02,2.563971557617e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8.000000000000e+00,9.619880881140e+05,2.903637107887e+03,1.961077464802e+03,1.956307480283e-01,1.806371766282e+02,-6.305910765149e-05,-6.305910765149e-05,0.000000000000e+00,0.000000000000e+00,4.891157607731e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.103316887452e-03,1.103316887452e-03,5.549457082015e+04,1.000000000000e+00,0.000000000000e+00,2.707108910215e+02,2.668687438965e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9.000000000000e+00,9.619840400622e+05,2.907685159852e+03,2.151358436273e+03,2.142483390384e-01,1.809411523543e+02,-2.871173778399e-04,-2.871173778399e-04,0.000000000000e+00,0.000000000000e+00,4.048051965151e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.141037996102e-03,3.141037996102e-03,5.549552423682e+04,1.000000000000e+00,0.000000000000e+00,2.708968234946e+02,2.683876037598e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
