# Observation File: observation_columnSpinup.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow depth [m]
# Region: surface domain
# Reduction: average
# Variable: snow-depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow density [kg/m^3]
# Region: surface domain
# Reduction: average
# Variable: snow-density
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-subsurface_evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt rate [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m/d]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [mSWE/d]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow cumulation [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Reduction: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m/d]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","snow depth [m]","snow density [kg/m^3]","evaporation rate [m/d]","evaporation cumulation [m3/d]","subsurface evaporation cumulation [m3/d]","discharge cumulation [mol/d]","surface-subsurface exchange cumulation [mol/d]","snowmelt rate [m/d]","snowmelt cumulation [m3/d]","rain [m/d]","rain cumulation [m3/d]","snow [mSWE/d]","snow cumulation [m3SWE/d]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m/d]","surface temperature [K]","air temperature [K]","thaw depth [m]","water table depth [m]","net runoff [mol/d]"
0.000000000000e+00,9.620318066726e+05,2.859918539805e+03,1.664690061848e+03,3.000000000000e-01,1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.548966872828e+04,1.000000000000e+00,0.000000000000e+00,2.698656042899e+02,2.570551757812e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e+00,9.620256965479e+05,2.866028665733e+03,1.685642910146e+03,3.037451458952e-01,1.000000000000e+02,5.289262144846e-04,5.289262144846e-04,0.000000000000e+00,0.000000000000e+00,6.110125928106e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.034408037678e-04,9.034408037678e-04,5.549530364273e+04,1.000000000000e+00,0.000000000000e+00,2.708530666015e+02,2.636353759766e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e+00,9.620206021551e+05,2.871123059826e+03,1.708940725221e+03,2.513153979108e-01,1.225284809885e+02,-2.721272285325e-04,-2.721272285325e-04,0.000000000000e+00,0.000000000000e+00,5.094394092787e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.466521368343e-04,1.466521368343e-04,5.549717181028e+04,1.000000000000e+00,0.000000000000e+00,2.712407494615e+02,2.665655212402e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.000000000000e+00,9.620159615760e+05,2.875763637751e+03,1.718596981195e+03,2.238589602738e-01,1.383329798342e+02,-1.705874811061e-04,-1.705874811061e-04,0.000000000000e+00,0.000000000000e+00,4.640577924784e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.195637554576e-06,3.195637554576e-06,5.549755242004e+04,1.000000000000e+00,0.000000000000e+00,2.713249121770e+02,2.652445068359e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.000000000000e+00,9.620110771507e+05,2.880648062294e+03,1.735307417529e+03,2.077339955051e-01,1.505216499429e+02,-1.492654136887e-04,-1.492654136887e-04,0.000000000000e+00,0.000000000000e+00,4.884424543922e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.521212979583e-04,1.521212979583e-04,5.549704747994e+04,1.000000000000e+00,0.000000000000e+00,2.712136611237e+02,2.636066284180e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e+00,9.620063283571e+05,2.885396855634e+03,1.801235150815e+03,2.041040121027e-01,1.590195578264e+02,-8.380811258689e-05,-8.380811258689e-05,0.000000000000e+00,0.000000000000e+00,4.748793339864e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.104257856355e-03,1.104257856355e-03,5.549684960875e+04,1.000000000000e+00,0.000000000000e+00,2.711709677343e+02,2.630910644531e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.000000000000e+00,9.620008065012e+05,2.890918711033e+03,1.847881983860e+03,1.991560239669e-01,1.671954567332e+02,5.720668061827e-05,5.720668061827e-05,0.000000000000e+00,0.000000000000e+00,5.521855399080e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.986592973770e-04,8.986592973770e-04,5.549531386950e+04,1.000000000000e+00,0.000000000000e+00,2.708550622719e+02,2.591666259766e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.000000000000e+00,9.619954161302e+05,2.896309083711e+03,1.831897379616e+03,1.872907098737e-01,1.762515326816e+02,2.897438484054e-04,2.897438484054e-04,0.000000000000e+00,0.000000000000e+00,5.390372677421e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.036121871107e-06,2.036121871107e-06,5.549476330639e+04,1.000000000000e+00,0.000000000000e+00,2.707477500284e+02,2.622767333984e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8.000000000000e+00,9.619908411458e+05,2.900884068200e+03,1.904271317108e+03,1.899245391307e-01,1.806716941780e+02,-2.003966956958e-04,-2.003966956958e-04,0.000000000000e+00,0.000000000000e+00,4.574984489656e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.103316887452e-03,1.103316887452e-03,5.549548199187e+04,1.000000000000e+00,0.000000000000e+00,2.708884050014e+02,2.657672424316e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9.000000000000e+00,9.619868293094e+05,2.904895903539e+03,2.107624805635e+03,2.105307941339e-01,1.803916473828e+02,-5.229705297382e-04,-5.229705297382e-04,0.000000000000e+00,0.000000000000e+00,4.011835338607e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.141037996102e-03,3.141037996102e-03,5.549594460810e+04,1.000000000000e+00,0.000000000000e+00,2.709816672702e+02,2.662735290527e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
